id,z1,z2,alpha,beta,gamma,init_q,n_steps
903d3ca1,-1.2636901140213013,1.6570184230804443,0.303820266836822,4.910818788001905,1.0,0.0,3
92229271,-2.3411481380462646,2.250617742538452,0.8462213538236498,14.656013877027846,1.0,0.0,3
b04416d2,-2.3465962409973145,2.2510766983032227,0.694384228127766,8.484964141674299,1.0,0.0,3
66c01e55,-2.127354621887207,2.1258158683776855,0.969593200907125,6.309703441350854,1.0,0.0,3
0d50ba66,-0.28154638409614563,0.1701766848564148,0.8892795015387208,10.2055221670586,1.0,0.0,3
8a844787,-2.6816391944885254,2.347668170928955,0.76407506825732,10.13754153051718,1.0,0.0,3
91d445aa,-2.0964016914367676,2.0519378185272217,0.8623954685006752,7.0887789170412745,1.0,0.0,3
ec6fe093,-2.5728535652160645,2.448958158493042,0.2149226428818228,11.70063416192602,1.0,0.0,3
5422e554,-0.8504316210746765,1.2718044519424438,0.5950684147655922,6.50776125999828,1.0,0.0,3
e03d48ad,-1.350201964378357,0.9332898855209351,0.4885289238942415,3.491825769702717,1.0,0.0,3
b2e51654,-0.5478855967521667,0.4969619810581207,0.7855879229974075,6.557872223570337,1.0,0.0,3
f0cde92b,-1.8093724250793457,1.123592495918274,0.1306746861577105,1.2083829658787022,1.0,0.0,3
88e0a232,-2.6222381591796875,2.408399820327759,0.5335208263337436,8.774092461783003,1.0,0.0,3
930ef14c,-2.3420071601867676,2.358175277709961,0.2410217429258554,3.8618381644032023,1.0,0.0,3
9f0c2ea2,-2.425039291381836,2.426670551300049,0.6205563907967944,10.098153942950116,1.0,0.0,3
8fef0e6a,-2.606625556945801,2.432220458984375,0.2567513932877895,7.38773076878153,1.0,0.0,3
bf15828e,-2.4684391021728516,2.2676258087158203,0.2186433678528888,14.398450277587791,1.0,0.0,3
baf81d8f,-2.4483606815338135,2.278778314590454,0.5357523643383466,3.814314084629922,1.0,0.0,3
7018c6a6,-2.5092005729675293,2.2149362564086914,0.642361104818551,11.538392726756111,1.0,0.0,3
