id,agent,alpha,beta,gamma,init_q,nllik,n_steps
5e13ff1b94d5eea33e200fce,0,0.21958617797712976,2.5480471821564996,0.48488410034369,0.7401187810045596,0.6647664398560416,2
65b84104763d1e7cd0d60507,1,0.6292505510870361,5.442066038825932,0.999,0.001,0.318438069873123,2
6646052f36c0bd14aafa0f0f,2,0.09985707318474267,4.800270132009409,0.5753258021026769,0.001,0.5819486238943649,2
5ce031fc7f65ee001a985a6b,3,0.38002951559474246,2.7093208529541313,0.999,0.001,0.6208241169122457,2
66c34db91daa2cac0b579ee5,4,0.5284805546290444,4.468828685950145,0.999,0.001,0.3248254966649153,2
60e20896098befdcf5e59441,5,0.7684728554035465,0.35505107292223603,0.999,0.07224639319180136,0.6893470918691812,2
66559244530907c5dd7b77be,6,0.03250551751368405,6.042721631683104,0.999,0.001,0.6478348398591426,2
66dae86be0d77b33d6805623,7,0.6491120277386236,2.137269558461223,0.999,0.001,0.5803382483777604,2
61232b43bd4b37c8d76a7b37,8,0.999,0.8418193174972811,0.2659509811985402,0.001,0.6695654177837271,2
6681e779f60d20a3b2b27bb3,9,0.49997757349501526,0.001,0.9989992006394263,0.49998016031464965,0.6931680279976453,2
5e7414b9929931398ae59f02,10,0.16863436698554002,1.5492822852627568,0.999,0.001,0.6730335942672809,2
612520bd6605794b27e6a0fd,11,0.3455006558691945,4.367093858625469,0.6993966062562677,0.001,0.5092298636418973,2
66c856fd76895ebe2db7c327,12,0.08804811590091222,3.568403984872506,0.001,0.2029262825859904,0.6778176111029427,2
666c6160d7613a472a88bc12,13,0.5452527881167251,3.1166253800395842,0.9181022881490645,0.36952418349795274,0.5666223366767843,2
60db30cbbbee552378774e50,14,0.999,1.3259036995996818,0.6354129459008289,0.001,0.6222981761606079,2
65ab079fde17d72bca5e774b,15,0.11357851706276252,7.376652852656295,0.999,0.001,0.4660432894228872,2
5fbdc4f0784d3f225d8d96d1,16,0.13938954064021666,15.082083423290753,0.999,0.40401376562675617,0.44580452062046483,2
664382feed568375e3bf2618,17,0.24552943881772057,2.9804520001831185,0.999,0.001,0.5814176621502863,2
64e114532a07493224e3a5a1,18,0.43276970096737283,4.1405533485953425,0.999,0.001,0.44432020041863834,2
5ee9193db78df9119fe4f7c1,19,0.3546014899736328,1.6849666506142056,0.999,0.001,0.6533210457137266,2
66ce71d5f8614777651a8931,20,0.3274477328621417,1.8334398764829984,0.999,0.001,0.6258336623434048,2
669f5d4b56cd9e5a3615a8ed,21,0.1340673742501105,2.5664699358612495,0.999,0.001,0.651573243075119,2
65dc9f26bed0f87772f68eed,22,0.5380816623243155,3.812591749810672,0.999,0.001,0.5209240021286027,2
65fd910b6214e647ea9c6175,23,0.13340423507144006,1.74883564610222,0.999,0.001,0.6823987814708031,2
5d612ae16512d700159face7,24,0.7643400610514024,2.221082225738667,0.999,0.001,0.557019118820739,2
