n_steps_src,n_steps_trg,id,block,agent,total_rew,percent_rewarding_act,diff_rew,diff_per
3,2,5e13ff1b94d5eea33e200fce,0,hum,22.0,0.3684210526315789,,
3,2,5e13ff1b94d5eea33e200fce,0,org,24.09607843137255,0.4635342868280728,3.484313725490196,0.12956030775000313
3,2,5e13ff1b94d5eea33e200fce,0,opp,23.858823529411765,0.43544489171688394,3.2784313725490195,0.12640505767123011
3,2,5e13ff1b94d5eea33e200fce,1,hum,26.0,0.5172413793103449,,
3,2,5e13ff1b94d5eea33e200fce,1,org,27.111764705882354,0.46313679537652225,2.9274509803921567,0.0902375584875043
3,2,5e13ff1b94d5eea33e200fce,1,opp,26.172549019607843,0.41960937191918674,2.854901960784314,0.1262783669964788
3,2,5e13ff1b94d5eea33e200fce,2,hum,24.0,0.5833333333333334,,
3,2,5e13ff1b94d5eea33e200fce,2,org,27.12549019607843,0.6891175169421391,3.6823529411764704,0.12870849622261019
3,2,5e13ff1b94d5eea33e200fce,2,opp,26.94705882352941,0.7074627127427164,3.884313725490196,0.1450110452455198
3,2,65b84104763d1e7cd0d60507,0,hum,22.0,0.7307692307692307,,
3,2,65b84104763d1e7cd0d60507,0,org,28.07843137254902,0.7230185982024872,6.219607843137255,0.07416275279374837
3,2,65b84104763d1e7cd0d60507,0,opp,27.931372549019606,0.7168687337714083,6.045098039215686,0.07424387117015882
3,2,65b84104763d1e7cd0d60507,1,hum,34.0,0.8,,
3,2,65b84104763d1e7cd0d60507,1,org,29.42156862745098,0.7435084186462088,4.845098039215686,0.07295786321286012
3,2,65b84104763d1e7cd0d60507,1,opp,28.99019607843137,0.7294379555543962,5.190196078431373,0.08428798162701609
3,2,65b84104763d1e7cd0d60507,2,hum,29.0,0.6666666666666666,,
3,2,65b84104763d1e7cd0d60507,2,org,29.63137254901961,0.7221834603788029,2.756862745098039,0.08689705161212193
3,2,65b84104763d1e7cd0d60507,2,opp,29.19607843137255,0.7010089277468158,2.803921568627451,0.08117616145226933
3,2,6646052f36c0bd14aafa0f0f,0,hum,38.0,0.8823529411764707,,
3,2,6646052f36c0bd14aafa0f0f,0,org,30.431372549019606,0.8514727104653382,7.607843137254902,0.05849984882001775
3,2,6646052f36c0bd14aafa0f0f,0,opp,30.237254901960785,0.8507234969748985,7.829411764705882,0.062148152722238996
3,2,6646052f36c0bd14aafa0f0f,1,hum,25.0,0.631578947368421,,
3,2,6646052f36c0bd14aafa0f0f,1,org,26.350980392156863,0.5357268684354805,2.9156862745098038,0.11204964545263321
3,2,6646052f36c0bd14aafa0f0f,1,opp,25.409803921568628,0.5081189504159505,3.0098039215686274,0.1357191058253418
3,2,6646052f36c0bd14aafa0f0f,2,hum,31.0,0.8285714285714286,,
3,2,6646052f36c0bd14aafa0f0f,2,org,26.658823529411766,0.5661856065308937,4.741176470588235,0.26238582204053507
3,2,6646052f36c0bd14aafa0f0f,2,opp,26.476470588235294,0.5689630115795595,5.131372549019608,0.25969971276943943
3,2,5ce031fc7f65ee001a985a6b,0,hum,28.0,0.5,,
3,2,5ce031fc7f65ee001a985a6b,0,org,28.398039215686275,0.6027570536372095,2.8058823529411763,0.12094475585213744
3,2,5ce031fc7f65ee001a985a6b,0,opp,28.29607843137255,0.5983400280171415,3.0215686274509803,0.11784130483498777
3,2,5ce031fc7f65ee001a985a6b,1,hum,19.0,0.2285714285714285,,
3,2,5ce031fc7f65ee001a985a6b,1,org,21.915686274509802,0.3320724125024796,3.6333333333333333,0.111126708924994
3,2,5ce031fc7f65ee001a985a6b,1,opp,21.454901960784312,0.3174674783222724,3.450980392156863,0.10313782201658939
3,2,5ce031fc7f65ee001a985a6b,2,hum,25.0,0.4615384615384615,,
3,2,5ce031fc7f65ee001a985a6b,2,org,29.550980392156863,0.7245674353506533,4.8803921568627455,0.2633073229140704
3,2,5ce031fc7f65ee001a985a6b,2,opp,29.46078431372549,0.716306741798133,4.798039215686274,0.25480598765032014
3,2,66c34db91daa2cac0b579ee5,0,hum,36.0,0.9090909090909092,,
3,2,66c34db91daa2cac0b579ee5,0,org,30.46470588235294,0.7961146918238643,5.6568627450980395,0.11637397603161119
3,2,66c34db91daa2cac0b579ee5,0,opp,30.12549019607843,0.7767843965415686,6.003921568627451,0.13488103184896333
3,2,66c34db91daa2cac0b579ee5,1,hum,20.0,0.2894736842105263,,
3,2,66c34db91daa2cac0b579ee5,1,org,21.968627450980392,0.3280725098491844,3.3529411764705883,0.07861465898480825
3,2,66c34db91daa2cac0b579ee5,1,opp,21.658823529411766,0.31196759061181245,2.988235294117647,0.07315346301669996
3,2,66c34db91daa2cac0b579ee5,2,hum,35.0,0.8181818181818181,,
3,2,66c34db91daa2cac0b579ee5,2,org,23.080392156862747,0.4826971726026644,11.927450980392157,0.3354846455791537
3,2,66c34db91daa2cac0b579ee5,2,opp,22.662745098039217,0.465478254482911,12.337254901960785,0.35280383107858626
3,2,60e20896098befdcf5e59441,0,hum,23.0,0.45,,
3,2,60e20896098befdcf5e59441,0,org,25.79019607843137,0.48032732282468577,3.5980392156862746,0.08753520078729063
3,2,60e20896098befdcf5e59441,0,opp,27.17058823529412,0.560145937586951,4.629411764705883,0.14900589848301177
3,2,60e20896098befdcf5e59441,1,hum,27.0,0.6551724137931034,,
3,2,60e20896098befdcf5e59441,1,org,28.74705882352941,0.73295036192265,3.1862745098039214,0.09379033031727185
3,2,60e20896098befdcf5e59441,1,opp,29.737254901960785,0.7686972327310408,3.6745098039215685,0.12176777433236353
3,2,60e20896098befdcf5e59441,2,hum,21.0,0.3636363636363636,,
