n_steps_src,n_steps_trg,id,org_opp,nllik,match
3,2,9ec962d1,org,0.6576002240180969,0.6
3,2,9ec962d1,opp,0.7142016446148908,0.5523923923923924
3,2,ef888e48,org,0.4521701037883758,0.75
3,2,ef888e48,opp,0.5209005775752368,0.6654754754754755
3,2,5d43a2cd,org,0.8641505241394043,0.46
3,2,5d43a2cd,opp,0.7685162370746678,0.5329929929929931
3,2,2a70f1dd,org,0.7674880027770996,0.56
3,2,2a70f1dd,opp,0.8120352616300573,0.5117917917917918
3,2,afb2983a,org,0.5376715660095215,0.6
3,2,afb2983a,opp,0.5800124798809085,0.6137037037037038
3,2,2a3e316c,org,0.3887457549571991,0.74
3,2,2a3e316c,opp,0.4819611348547377,0.6703203203203203
3,2,ea62e466,org,0.6657012701034546,0.49
3,2,ea62e466,opp,0.6363245128272651,0.5914214214214215
3,2,612d13af,org,0.3629308044910431,0.71
3,2,612d13af,opp,0.36512616619810806,0.7226326326326326
3,2,061d47e7,org,0.4352577924728393,0.66
3,2,061d47e7,opp,0.5429018453076795,0.6251451451451451
3,2,b899750a,org,0.6976058483123779,0.62
3,2,b899750a,opp,0.718251017419187,0.5473873873873875
3,2,3c4fc90a,org,0.7479286789894104,0.45
3,2,3c4fc90a,opp,0.893357206870605,0.47982982982982986
3,2,ed4dcd1f,org,0.2699854969978332,0.84
3,2,ed4dcd1f,opp,0.34090530817155484,0.7517117117117117
3,2,7dcdbc3e,org,0.4407367706298828,0.81
3,2,7dcdbc3e,opp,0.4521337614522443,0.6953253253253252
3,2,0b4f5c6c,org,0.6774256825447083,0.42
3,2,0b4f5c6c,opp,0.7030703727308814,0.5692692692692694
3,2,ecdf09c7,org,0.4717462658882141,0.65
3,2,ecdf09c7,opp,0.5968315098677073,0.5966566566566566
3,2,a20cb20a,org,0.8813073039054871,0.44
3,2,a20cb20a,opp,0.7601953434633898,0.531991991991992
3,2,bc7604fc,org,0.7772855162620544,0.6
3,2,bc7604fc,opp,0.7752467140301809,0.542002002002002
3,2,b7d90fb0,org,0.6536439657211304,0.57
3,2,b7d90fb0,opp,0.62467227767299,0.5984884884884886
3,2,8cfcfc48,org,0.796221911907196,0.47
3,2,8cfcfc48,opp,0.8033494820465913,0.5191191191191192
3,2,b6b8b113,org,0.6076251268386841,0.55
3,2,b6b8b113,opp,0.47101343698329756,0.6756956956956957
3,2,07a17bd7,org,0.5104416608810425,0.62
3,2,07a17bd7,opp,0.5998578308461545,0.6050050050050051
3,2,16ed5d07,org,0.829815685749054,0.54
3,2,16ed5d07,opp,0.7525294211891679,0.5425325325325325
3,2,57be4ca7,org,0.6645156145095825,0.62
3,2,57be4ca7,opp,0.7371417494030209,0.5445745745745746
3,2,da826ac6,org,0.616227924823761,0.57
3,2,da826ac6,opp,0.6294689123575633,0.6057157157157156
3,2,28fce0bb,org,0.6994360089302063,0.53
3,2,28fce0bb,opp,0.8267146144304667,0.5166166166166166
3,2,37a710b5,org,0.6918768286705017,0.58
3,2,37a710b5,opp,0.7098126188890116,0.5634534534534534
3,2,8ab84466,org,0.6247859597206116,0.64
3,2,8ab84466,opp,0.6626276330308275,0.6060360360360361
3,2,4df84f4b,org,0.699259877204895,0.6
3,2,4df84f4b,opp,0.7478268740771411,0.5339839839839841
3,2,6b2f4a96,org,0.5907627940177917,0.68
3,2,6b2f4a96,opp,0.639263989331128,0.5886186186186186
3,2,0fb833fb,org,0.6997700333595276,0.51
3,2,0fb833fb,opp,0.8111283112097312,0.5049349349349349
3,2,292ff9d6,org,0.5827019214630127,0.62
3,2,292ff9d6,opp,0.5780604625488067,0.6117517517517519
3,2,86171e21,org,0.483123242855072,0.65
3,2,86171e21,opp,0.5432314384687651,0.6556256256256257
3,2,48f3dbf1,org,0.4793207943439483,0.73
3,2,48f3dbf1,opp,0.5291973355415467,0.6637837837837838
3,2,ef9c34a0,org,0.3369706869125366,0.79
3,2,ef9c34a0,opp,0.45204871284353126,0.6906506506506507
3,2,385fd52a,org,0.6899444460868835,0.66
3,2,385fd52a,opp,0.6452572108269693,0.5934934934934935
3,2,53007b1e,org,0.6840206384658813,0.54
3,2,53007b1e,opp,0.6109111829324289,0.5923423423423423
3,2,ecebc0e0,org,0.3278993666172027,0.71
3,2,ecebc0e0,opp,0.46802896998069426,0.671061061061061
3,2,759a2890,org,0.4060860574245453,0.76
3,2,759a2890,opp,0.3738412815141487,0.7233933933933934
3,2,ef39376f,org,0.6540480852127075,0.57
3,2,ef39376f,opp,0.6869331929418776,0.5581481481481482
3,2,6b70e163,org,0.9102904796600342,0.48
3,2,6b70e163,opp,0.8416956521727301,0.49044044044044044
3,2,660faba6,org,0.7412084937095642,0.58
3,2,660faba6,opp,0.7448629426645922,0.5331331331331332
3,2,3b315e22,org,0.7429227232933044,0.53
3,2,3b315e22,opp,0.7675803341903725,0.5372272272272273
3,2,20cb728d,org,0.5542355179786682,0.63
3,2,20cb728d,opp,0.6172268928230943,0.5895895895895896
3,2,643353e9,org,1.1799670457839966,0.5
3,2,643353e9,opp,0.8179400217783702,0.519089089089089
3,2,3f0a6bf3,org,0.6940585374832153,0.5
3,2,3f0a6bf3,opp,0.6135896964593454,0.6072672672672672
3,2,9e4ab66b,org,0.7045361995697021,0.46
3,2,9e4ab66b,opp,0.8318654836357774,0.5065165165165165
3,2,64011390,org,0.5106706023216248,0.71
3,2,64011390,opp,0.5601998260906628,0.6371971971971973
3,2,dc0c2b11,org,0.612057089805603,0.5
3,2,dc0c2b11,opp,0.48527922576015536,0.6818218218218218
3,2,2b8fe9b8,org,0.4834330677986145,0.74
3,2,2b8fe9b8,opp,0.5238376321556332,0.6679579579579579
3,2,824142ef,org,0.6746180653572083,0.49
3,2,824142ef,opp,0.53410380675986,0.6394294294294294
3,2,5997af4b,org,0.6841741800308228,0.52
3,2,5997af4b,opp,0.6933787923914057,0.5613413413413413
3,2,ca477c05,org,0.4872231185436249,0.64
3,2,ca477c05,opp,0.5034717058276271,0.6619419419419419
3,2,720d4532,org,0.4426695108413696,0.76
3,2,720d4532,opp,0.49892297569099253,0.664114114114114
3,2,df3ef65d,org,0.5146973133087158,0.73
3,2,df3ef65d,opp,0.5662967810282359,0.6250550550550551
3,2,2be12409,org,0.6328831315040588,0.68
3,2,2be12409,opp,0.6974956470805485,0.5618618618618618
3,2,fc12be97,org,0.62440425157547,0.46
3,2,fc12be97,opp,0.501961812570885,0.6686786786786787
3,2,5a774fa8,org,0.6851413249969482,0.65
3,2,5a774fa8,opp,0.6553848089279236,0.5951051051051051
3,2,a75cd5b7,org,0.7638506293296814,0.63
3,2,a75cd5b7,opp,0.7037061493437331,0.5615915915915916
3,2,6d388509,org,0.7638313174247742,0.52
3,2,6d388509,opp,0.8475495106703765,0.5063663663663663
3,2,34a5488c,org,0.6339598298072815,0.47
3,2,34a5488c,opp,0.6149539140848307,0.6016516516516516
3,2,b76daaf4,org,0.6479946970939636,0.6
3,2,b76daaf4,opp,0.6212178809387429,0.6005105105105106
3,2,1d02fd14,org,0.6227245330810547,0.65
3,2,1d02fd14,opp,0.687491440796876,0.5543643643643644
3,2,b41d69aa,org,0.6705448627471924,0.5
3,2,b41d69aa,opp,0.7807681703710699,0.5335335335335335
3,2,23634373,org,0.6886149048805237,0.5
3,2,23634373,opp,0.7655166023009055,0.5406806806806806
3,2,faf61559,org,0.5089854598045349,0.72
3,2,faf61559,opp,0.49674661825965716,0.6647747747747748
3,2,c0d6f703,org,0.717044472694397,0.53
