id,agent,n_steps_src,n_steps_trg,nllik_org,nllik_opp
e4cb,9.0,1,2,0.4102539420127868,0.4929770231246948
eaa9,21.0,1,2,0.3447888195514679,0.4973516762256622
27ee,36.0,1,2,0.3263603746891022,0.5000599026679993
8e24,39.0,1,2,0.5000900030136108,0.4894622564315796
1f90,47.0,1,2,0.5084201693534851,0.4892595112323761
b1d4,58.0,1,2,0.6169816851615906,0.4829957485198974
d098,67.0,1,2,0.5364797711372375,0.4875521659851074
afaa,70.0,1,2,0.4837329983711242,0.4898566901683807
a49e,81.0,1,2,0.5877541303634644,0.4845186173915863
2ba3,87.0,1,2,0.3935458362102508,0.4939803183078766
1596,88.0,1,2,0.7056838870048523,0.4777109324932098
12bd,103.0,1,2,0.4654134511947632,0.4919200241565704
cd15,117.0,1,2,0.4491705298423767,0.491902232170105
1e37,140.0,1,2,0.481711745262146,0.4891130328178406
d74e,165.0,1,2,0.5820736885070801,0.486310064792633
5392,172.0,1,2,0.5725194215774536,0.4853053987026214
69ae,174.0,1,2,0.4346641004085541,0.4923612177371979
b594,188.0,1,2,0.5058010220527649,0.488832950592041
c93c,190.0,1,2,0.5114818811416626,0.4895053505897522
f2eb,192.0,1,2,0.3874934315681457,0.4949647188186645
e4cb,9.0,2,2,0.4239386618137359,0.4771348536014557
eaa9,21.0,2,2,0.3518929183483124,0.4825362265110016
27ee,36.0,2,2,0.3129705786705017,0.4835938215255737
8e24,39.0,2,2,0.4655041396617889,0.4758849442005157
1f90,47.0,2,2,0.474142462015152,0.4743508100509643
b1d4,58.0,2,2,0.6310867071151733,0.4656582772731781
d098,67.0,2,2,0.525854229927063,0.4731014370918274
afaa,70.0,2,2,0.4346260130405426,0.4763866364955902
a49e,81.0,2,2,0.6169562935829163,0.4671789705753326
2ba3,87.0,2,2,0.4063879251480102,0.4779598414897918
1596,88.0,2,2,0.6862567663192749,0.4629886746406555
12bd,103.0,2,2,0.4393450915813446,0.4761724770069122
cd15,117.0,2,2,0.3671254515647888,0.4805001318454742
1e37,140.0,2,2,0.4855749607086181,0.4760708212852478
d74e,165.0,2,2,0.5790483355522156,0.4713793396949768
5392,172.0,2,2,0.5638905167579651,0.4688894748687744
69ae,174.0,2,2,0.3837418258190155,0.4805454909801483
b594,188.0,2,2,0.463590532541275,0.4759205281734466
c93c,190.0,2,2,0.5106834173202515,0.473889410495758
f2eb,192.0,2,2,0.3792383372783661,0.4791153967380523
64e7533f36d388e8b31d3309,4.0,1,3,0.4036671817302704,0.5655731558799744
6646052f36c0bd14aafa0f0f,7.0,1,3,0.5159087181091309,0.5598530173301697
607ec7379eac7be04ab448e3,15.0,1,3,0.6362255215644836,0.5563939213752747
5e13ff1b94d5eea33e200fce,20.0,1,3,0.6622240543365479,0.5535243153572083
6006ae13a40ec00348555219,22.0,1,3,0.6424371600151062,0.5533894300460815
6692d088fc492a0498191caf,31.0,1,3,0.5599410533905029,0.5597001314163208
61190367632a534f9e11b013,34.0,1,3,0.580123245716095,0.5577877163887024
666b0a3508c2f3faa9cd0057,37.0,1,3,0.5050484538078308,0.561234176158905
66d9ae66f6f721f4db56007c,39.0,1,3,0.6467694640159607,0.5538012981414795
66159b3aa54492fae356f2d1,40.0,1,3,0.5731446743011475,0.5581311583518982
5f4469a101c96e20702a9ece,43.0,1,3,0.5912243723869324,0.5559085011482239
66aa651e21c9af8ebcd8081e,47.0,1,3,0.3901776671409607,0.5678480863571167
5ed9c3054268815691ed0e2c,49.0,1,3,0.5240938663482666,0.5614736676216125
5e9fd839311b8018f88c99eb,63.0,1,3,0.7157678604125977,0.5493112802505493
66715c98b42ef93f2389ce3f,67.0,1,3,0.5383889079093933,0.5594478845596313
66dae86be0d77b33d6805623,72.0,1,3,0.5375530123710632,0.5594327449798584
5e3c407472a17401e4754bd0,75.0,1,3,0.4430704116821289,0.5653188824653625
64e114532a07493224e3a5a1,82.0,1,3,0.5103895664215088,0.5601781606674194
615e056d45156d8d481b5856,85.0,1,3,0.7082030177116394,0.5520009398460388
66ce527e14f31490d3e5e44b,91.0,1,3,0.4769836962223053,0.5638135671615601
5dfbefa35777b591c3999842,0.0,1,1,0.6613489985466003,0.6086488962173462
66cf32c269c7951c97de25fc,1.0,1,1,0.5314398407936096,0.5635836124420166
66fc6d168db73b4d68af6cfb,2.0,1,1,0.2154189348220825,0.731594443321228
5d251b0c86fe240017764b36,3.0,1,1,0.6098207235336304,0.5571179389953613
65f5877e1c411d371249dd22,5.0,1,1,0.4800261855125427,0.5838826298713684
667f23d046fa0aeeb5153736,6.0,1,1,0.4193873107433319,0.5754364132881165
669a687aa4b63a61f8f5b07f,8.0,1,1,0.5705755352973938,0.5563139915466309
664382feed568375e3bf2618,9.0,1,1,0.5617042779922485,0.5872082114219666
666c6160d7613a472a88bc12,10.0,1,1,0.6301535964012146,0.5764876008033752
66c086c91cd54d5495701e9b,11.0,1,1,0.68599933385849,0.5729923248291016
6681e779f60d20a3b2b27bb3,12.0,1,1,0.5608776807785034,0.5555389523506165
65b84104763d1e7cd0d60507,13.0,1,1,0.3090905845165252,0.7498531937599182
614f11b6fe832a304632a860,14.0,1,1,0.6696895956993103,0.5893845558166504
660c9c26e4220931438f3d30,16.0,1,1,0.594031572341919,0.5734487175941467
669f5d4b56cd9e5a3615a8ed,17.0,1,1,0.5054829120635986,0.5561822652816772
6659e2d753ad8a42fde08e10,18.0,1,1,0.6899668574333191,0.585798978805542
5fbdc4f0784d3f225d8d96d1,19.0,1,1,0.2483585327863693,0.7463765740394592
60e20896098befdcf5e59441,21.0,1,1,0.643003523349762,0.5652503967285156
65ba49256dc8eda1950b70b3,23.0,1,1,0.7123872637748718,0.6046925187110901
5e248b6f0c0b31718a9d3f31,24.0,1,1,0.3696379661560058,0.736026406288147
612520bd6605794b27e6a0fd,25.0,1,1,0.561363160610199,0.5576499104499817
66aa5aaa7f31ee53f61079ac,26.0,1,1,0.6297160983085632,0.5633405447006226
66da1ee997e80ed7628558f3,27.0,1,1,0.5595559477806091,0.5706131458282471
664c9a37d570871d534dd3c2,28.0,1,1,0.5159285068511963,0.5980337262153625
667783ecd51176477fc57977,29.0,1,1,0.1023669838905334,0.8461138606071472
66a2d042a6eb6d2766577b3f,30.0,1,1,0.3883615732192993,0.5596329569816589
5e15bb77e78021b9d45d8cf4,32.0,1,1,0.585030198097229,0.5611585378646851
66c856fd76895ebe2db7c327,33.0,1,1,0.6940248012542725,0.5683217644691467
61232b43bd4b37c8d76a7b37,35.0,1,1,0.5304979681968689,0.5578536987304688
5e23c2569138e066e7e892f7,36.0,1,1,0.4571501612663269,0.7507508397102356
66a4f41f0a2e0870ee52c6bf,38.0,1,1,0.6849526762962341,0.5552380084991455
6689e94d0b49a04be9a2ac5c,41.0,1,1,0.6414546966552734,0.5863247513771057
65a9ca4a57dfdc3964333913,42.0,1,1,0.4626685082912445,0.562213122844696
5ce031fc7f65ee001a985a6b,44.0,1,1,0.5578857660293579,0.5651393532752991
6122f17c5f84f0f57feca3e6,45.0,1,1,0.6125884652137756,0.557071328163147
64b6b65f87a443a4963be23a,46.0,1,1,0.5795695185661316,0.7223095297813416
666ee913519a8d810a4c38d9,48.0,1,1,0.657935380935669,0.5561995506286621
64f03390a3ce93b12a268959,50.0,1,1,0.7227727174758911,0.5721261501312256
5d7df958cb6cf00001399929,51.0,1,1,0.5329512357711792,0.5554860830307007
661094be457866d2fd65a77d,52.0,1,1,0.4079529643058777,0.5577152371406555
5fc4c49da0603a4d5feae548,53.0,1,1,0.4284689724445343,0.6710530519485474
5d585e287d795e001788bf4c,54.0,1,1,0.6174744963645935,0.5674681067466736
6686926932e11d5550389cb1,55.0,1,1,0.1094237864017486,0.768710196018219
5c5fbade4cc94200016a5c15,56.0,1,1,0.6673448085784912,0.569218635559082
66301c9c390de66737e2ae4c,57.0,1,1,0.6033061742782593,0.6071328520774841
668946f774f64ae752e01a90,58.0,1,1,0.4377975463867187,0.5581002831459045
66daf1642fab82cb5a1df01b,59.0,1,1,0.4446693956851959,0.6002073884010315
