id,n_steps_src,n_steps_trg,nllik_org,nllik_opp,match_org,match_opp
903d3ca1,3,2,0.6903074383735657,0.7469259754673496,0.51,0.5459659659659661
92229271,3,2,0.4953049421310425,0.5594961437377127,0.63,0.627317317317317
b04416d2,3,2,0.3943016529083252,0.45176852942706347,0.79,0.6884384384384397
66c01e55,3,2,0.6546077132225037,0.6856433943107918,0.62,0.582052052052052
0d50ba66,3,2,0.7031363844871521,0.4854057813967551,0.52,0.666136136136138
8a844787,3,2,0.5013208389282227,0.5743756417457286,0.68,0.6113513513513509
91d445aa,3,2,0.4052647054195404,0.4605602010174676,0.66,0.6979679679679662
ec6fe093,3,2,0.37131503224372864,0.4186924296217757,0.81,0.7118118118118113
5422e554,3,2,0.7051293849945068,0.6035314887254923,0.55,0.6010210210210206
e03d48ad,3,2,0.6698659658432007,0.684274723639598,0.53,0.5770170170170167
b2e51654,3,2,0.64512038230896,0.7247575727310983,0.59,0.5730030030030019
f0cde92b,3,2,0.7851714491844177,0.7670213627266335,0.44,0.5371371371371363
88e0a232,3,2,0.48222625255584717,0.5457513523591054,0.69,0.6307007007007007
930ef14c,3,2,0.854958176612854,0.8951246867905389,0.48,0.47371371371371385
9f0c2ea2,3,2,0.5819189548492432,0.6362734167306153,0.58,0.5988988988988988
8fef0e6a,3,2,0.7170856595039368,0.7139584930451425,0.57,0.5391091091091081
bf15828e,3,2,0.35030415654182434,0.4297854816233432,0.81,0.7040340340340325
baf81d8f,3,2,0.7703025937080383,0.7546556063361831,0.51,0.5599599599599594
7018c6a6,3,2,0.43471747636795044,0.49613624903652165,0.61,0.6535435435435436
7b988e81,3,2,0.7165530323982239,0.461187741897247,0.6,0.6809909909909926
572436c0,3,2,0.742814302444458,0.8628402022986082,0.59,0.508938938938939
ea46b470,3,2,0.6993891000747681,0.6874495608073933,0.58,0.5680780780780784
c7981a48,3,2,0.6317699551582336,0.5302184168044273,0.61,0.640730730730732
b0e89a7b,3,2,0.6691772937774658,0.6313672967859216,0.47,0.5944744744744744
2a62b1ee,3,2,0.3298206627368927,0.43854233010991794,0.78,0.6871771771771759
e725b8a2,3,2,0.6286306977272034,0.5383664102287025,0.57,0.6483883883883886
e8fcda2b,3,2,0.6837390065193176,0.6922780339782303,0.52,0.5780680680680679
0026efd0,3,2,0.3095460534095764,0.3981602121521164,0.8,0.7084984984984979
3ac85f19,3,2,0.23046641051769257,0.40307798759417013,0.84,0.7109209209209199
640de505,3,2,0.5829141736030579,0.6244972925763708,0.68,0.6012512512512519
c0d29ae7,3,2,0.7350037097930908,0.7054322377458826,0.59,0.5559359359359354
1b1406d1,3,2,0.7412338256835938,0.7913591627244119,0.53,0.5258958958958959
db5f3a69,3,2,0.26631274819374084,0.4934274649566358,0.78,0.6475575575575572
3f0e9628,3,2,0.44321346282958984,0.5137520545237774,0.7,0.6529929929929934
26335a8a,3,2,0.6941816210746765,0.7516481612060402,0.61,0.5434634634634627
6463eaac,3,2,0.46487942337989807,0.5456666594391709,0.63,0.6284684684684694
78f13ad7,3,2,0.6514679193496704,0.652067394824596,0.6,0.5791691691691687
607c8667,3,2,0.8198179006576538,0.7994370564326152,0.52,0.5182382382382381
fd0bb85b,3,2,0.473305881023407,0.5012592264004536,0.65,0.6481781781781794
2aa68752,3,2,0.7461386919021606,0.8130054952384712,0.51,0.5181681681681671
1c95fe5f,3,2,0.674450695514679,0.8346744414206382,0.53,0.5088888888888886
202f6c5b,3,2,0.3918617367744446,0.51333164279764,0.74,0.6491291291291302
1e0de11c,3,2,0.5212295055389404,0.5206378606465963,0.62,0.6497997997997995
9ee233c1,3,2,0.6377942562103271,0.7171941029655563,0.53,0.566846846846847
875e17b5,3,2,1.0868463516235352,0.8374630039160674,0.48,0.5040140140140137
056e5bda,3,2,0.4844764769077301,0.5657199291853575,0.76,0.6266866866866873
23a3b5af,3,2,0.3686862885951996,0.49414694729868,0.77,0.6495695695695715
7e12de9e,3,2,0.7579241991043091,0.8264955214790635,0.48,0.5138238238238236
22a8366b,3,2,0.6194874048233032,0.6673867867157623,0.68,0.5743943943943945
e4d65c46,3,2,0.702023446559906,0.5211259358459048,0.5,0.6463063063063063
fe1f4bbe,3,2,0.7074853777885437,0.7001139315160306,0.59,0.5600300300300294
73964b26,3,2,0.42868560552597046,0.500791864680337,0.71,0.6686786786786809
9f3d1271,3,2,0.576651394367218,0.630069253621278,0.63,0.6088488488488493
24f5bc03,3,2,0.5584588050842285,0.6022779580589768,0.57,0.6035135135135128
fa50e9a1,3,2,0.6179397702217102,0.6111577220029898,0.59,0.6165965965965956
1eb6001e,3,2,0.42692282795906067,0.49168083584821737,0.74,0.6679379379379395
ef2ed67b,3,2,0.567680299282074,0.49183144479303864,0.51,0.6648948948948955
4fa9fd47,3,2,0.7591268420219421,0.743635724734019,0.51,0.5495995995995996
630cf91a,3,2,0.7172355055809021,0.7281477929235579,0.52,0.5412712712712715
bad00667,3,2,0.5193449258804321,0.5293448530100249,0.72,0.638328328328328
ceba6955,3,2,0.4777345359325409,0.5641880124598533,0.7,0.6245445445445442
5a920e3b,3,2,0.7315687537193298,0.6905456030213678,0.58,0.57027027027027
3f31cf0b,3,2,0.15200477838516235,0.23993877723469986,0.88,0.8089789789789786
1bce7656,3,2,0.4276125431060791,0.47594105162181416,0.8,0.6758758758758768
e1836f13,3,2,0.6960101127624512,0.8420719636214508,0.49,0.4994994994994994
acd46a7a,3,2,0.4394795298576355,0.4785699404932715,0.67,0.6712812812812837
e77e09c1,3,2,0.9049575924873352,0.834807593662579,0.54,0.5050150150150148
4d27de32,3,2,0.8173304796218872,0.7409579025374519,0.46,0.5354454454454438
3853d35a,3,2,0.4325762987136841,0.549210995107561,0.72,0.6282182182182185
21594a92,3,2,0.6942698955535889,0.7520559708754699,0.5,0.5410210210210211
d8125820,3,2,0.6247637271881104,0.6674030710149694,0.54,0.5825925925925927
400784ba,3,2,0.7316060662269592,0.7672475208868613,0.43,0.5307707707707702
a05f3613,3,2,0.7683036923408508,0.8765338625874486,0.53,0.4971671671671675
959da733,3,2,0.42187732458114624,0.5001613650474701,0.72,0.6659759759759779
13b6f622,3,2,0.5932369232177734,0.6393258896198597,0.69,0.606336336336336
617b56f8,3,2,0.6384365558624268,0.6116573639340825,0.55,0.6046346346346336
b381652c,3,2,0.6820141077041626,0.7410225301414162,0.41,0.5396196196196191
ce08b8c0,3,2,1.0413565635681152,0.8339007175839819,0.38,0.5143243243243244
4c897ed5,3,2,0.6971484422683716,0.7342397760939192,0.53,0.5460960960960966
da44abf1,3,2,0.8004382848739624,0.7048383821715583,0.61,0.5704304304304303
31ae16ac,3,2,0.4795488119125366,0.4484170940187242,0.61,0.6826626626626614
f0d26544,3,2,0.5928270220756531,0.516218032982495,0.53,0.6585485485485495
e3962ca9,3,2,0.6612929701805115,0.6995482328417781,0.58,0.5637637637637646
95f5a85e,3,2,0.7261641025543213,0.7370724462054752,0.63,0.5440840840840826
03961964,3,2,0.4387184977531433,0.5191890649848037,0.69,0.6498498498498494
390ed607,3,2,0.4866846799850464,0.5637071913964039,0.7,0.6312412412412423
440d004d,3,2,0.6743287444114685,0.7757954801525082,0.53,0.5298198198198192
7ae4477a,3,2,0.36158162355422974,0.44117376760200216,0.74,0.6990090090090086
349106b5,3,2,0.5410777926445007,0.5059657865935737,0.54,0.6652452452452462
8ae540cb,3,2,0.49186259508132935,0.5942351019477939,0.67,0.6072672672672675
13ab2461,3,2,0.837853193283081,0.7559039877938317,0.49,0.5323423423423421
41ecca42,3,2,0.3656950891017914,0.5506278067916721,0.74,0.6308708708708715
b58558a5,3,2,0.6916030049324036,0.6552411481902167,0.54,0.5871771771771772
7ef6e4e3,3,2,0.7156025767326355,0.4842101443667073,0.54,0.6620420420420413
7daea1ab,3,2,0.8682348728179932,0.7924108630544072,0.54,0.5208108108108105
2c62feb1,3,2,0.7119793891906738,0.7695040441490151,0.64,0.5541641641641644
26ae0382,3,2,0.5426073670387268,0.6115309239865782,0.61,0.6175275275275269
c8224eed,3,2,0.6946761608123779,0.7110727286792254,0.56,0.5472472472472454
704d3a13,3,2,0.6963098645210266,0.8063802639762679,0.56,0.5151651651651653
dab6dc51,3,2,0.7876603007316589,0.7679245449878551,0.63,0.5393693693693682
a9ed133b,3,2,0.6288612484931946,0.6915442772933074,0.53,0.5776576576576575
62158966,3,2,0.8130430579185486,0.7539799150761899,0.59,0.5400500500500499
fb43ab1d,3,2,0.5244259834289551,0.5839935607082015,0.67,0.6116416416416418
9129dae6,3,2,0.3656800091266632,0.4320711477979406,0.75,0.6987587587587593
40bc0a06,3,2,0.4811899662017822,0.5603038678477118,0.68,0.6403403403403422
48c5b669,3,2,0.5742579102516174,0.5686640095961345,0.62,0.6347247247247245
bde78b8d,3,2,0.5703184604644775,0.5756834979291197,0.7,0.6364164164164154
9351dfb2,3,2,0.8747376203536987,0.7444347408679394,0.55,0.5485085085085084
0f9f510c,3,2,0.5117490291595459,0.5657903124262262,0.69,0.6265065065065065
9af87b76,3,2,0.42643046379089355,0.5612207295539023,0.73,0.6136536536536543
1fa21ff2,3,2,0.6070907115936279,0.6603971984651353,0.68,0.594394394394394
1561d8f1,3,2,0.6382206678390503,0.5750563443005383,0.58,0.6492592592592596
d46d5e5d,3,2,0.3738855719566345,0.4208003005406281,0.77,0.712822822822822
1351f214,3,2,0.8157168626785278,0.6187781651576122,0.59,0.6117517517517513
f120d61c,3,2,0.6087339520454407,0.557939710022809,0.58,0.6440240240240245
6ac8b9d2,3,2,0.8704041838645935,0.7400984777821912,0.46,0.5385185185185182
d4833843,3,2,0.4785420894622803,0.5375767829599561,0.73,0.6414214214214217
051f1389,3,2,0.15320374071598053,0.2578061943476623,0.87,0.798108108108108
f6f45356,3,2,0.6519219279289246,0.6817372139987048,0.6,0.5690190190190193
b8ab404a,3,2,0.7106981873512268,0.7405568838000178,0.4,0.5559359359359362
6099a13d,3,2,0.7913322448730469,0.7878216675690584,0.53,0.5362262262262254
b8763b41,3,2,0.8628299236297607,0.7903407669520831,0.48,0.5210810810810801
7e75a697,3,2,0.8354191780090332,0.7943060136772133,0.56,0.5328828828828817
25b22369,3,2,0.9246780276298523,0.8082098159584794,0.49,0.5216416416416412
727380eb,3,2,0.34672465920448303,0.48575881958843115,0.74,0.6655855855855863
1477343c,3,2,0.37984371185302734,0.5080467866168724,0.72,0.6473073073073087
a5afc7f0,3,2,0.5425723195075989,0.6626196872961294,0.65,0.5868368368368374
eadc45d3,3,2,0.6167500019073486,0.6117268649784772,0.62,0.6325125125125105
bdb51b9c,3,2,0.6928220987319946,0.7788262888117954,0.59,0.536946946946946
7e737bbc,3,2,0.6258736252784729,0.6525205573639473,0.63,0.6036536536536531
da6694ba,3,2,0.41137930750846863,0.5611439311766887,0.66,0.6083583583583579
07da3ecf,3,2,0.6863220930099487,0.7611699960491918,0.62,0.5339239239239228
08812b1c,3,2,0.6917337775230408,0.8049319539819513,0.5,0.5048148148148143
661514d6,3,2,0.7094886898994446,0.7873803674279749,0.46,0.5179279279279275
43b09eff,3,2,0.6975604891777039,0.6314913425240312,0.56,0.6093393393393393
92bc7e95,3,2,0.6844103336334229,0.6947659387125505,0.55,0.567457457457457
36a69d45,3,2,0.3925563097000122,0.5313702477468504,0.72,0.637287287287288
a5cb2416,3,2,0.3762854337692261,0.4464422408286277,0.75,0.6959359359359347
